"Month","Date","Cell","Line","Machine","Machine No","Shift","Category","Time","Problem","Cause Why1","Cause Why2","Cause Why3","Cause Why4","Cause Why5","Action","Counter Measure","Category","Is Action Temporary?","Done By","Status"
"July","22-07-2024 T09:50","Fuel Pump","FP-Assy","MAGNET & SPRING ASSY","M-EN-FP-FPA-1-030-1","A","BM","20","Process not complete & fault no 71 coming","MC stop during process & fault no.71 coming","Process not complete","Part (Spring) press fitting complete signal not coming","Touch sensor not getting ON with PF stopper ","Spring PF little lower side 17.5mm (Spec 17.0~19.0 mm)","Press fitting ok signal touch sensor stopper adjust as per OK part (18.00mm)","Touch sensor stopper adjust in center as per spec, to prevent NG part pass., We request to PRD san for checking child part side check, any change point or not.","Problem Category- Mechanical,Breakdown Category- Allignment","No","Arun","Completed"
"July","22-07-2024 T17:01","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","B","BM","15","Resistance NG coming","Resistance NG coming","RESISTANCE CHECK UNIT VALUE HEIGHER SIDE COMING ","-","-","-","RESISTANCE UNIT ZERO SETTINGS DONE ","-","Problem Category- Electrical,Breakdown Category- Process","No","Tarkeshwar Prasad","Completed"
"July","23-07-2024 T01:38","Fuel Pump","FP-Assy","MAGNET & SPRING ASSY","M-EN-FP-FPA-1-030-1","C","BM","32","magnet spring getting damage during p/f","during auto cycle 72 no fault coming","magnet jig not insert properly","magnet stuck on housing ","magnet and spring jig alignment ng",".","magnet and spring jig alignment done after that ok","new jig on order","Problem Category- Mechanical,Breakdown Category- Allignment","No","Tinku,Salman ,Arun","Completed"
"July","23-07-2024 T00:10","Injector","UC # 3","LIFT INSPECTION","UC3-120","C","BM","60","Lift measurement value 1 coming NG ","Lift value of St. 1 coming higher side ","Lift Pin Roughness NG ","Due to continue contact ","",".","YRA model Probes changed with new ,Probe alignment checked with part's terminal, found OK","Lift Master check check point already available to know life abnormality ","Problem Category- Mechanical,Breakdown Category- Process","No","Gaurav,Santosh kumar Majhi","Completed"
"July","23-07-2024 T02:10","Injector","UC # 3","FILTER ASSEMBLY","UC3-140","C","CM","10","Filter assy chuck 1  Turn motion slow ","Air supply to cylinder was not enough","Solenoid spool stuck","Dust accumulated in solenoid ","Wear and tear","","Cylinder speed check and  found Fully open ,Solenoid valve changed with new ","Dryer Filters to be checked by End July ","Problem Category- Mechanical,Breakdown Category- Wear","No","Gaurav,Santosh kumar Majhi","Completed"
"July","23-07-2024 T19:15","Injector","UC # 3","LIFT INSPECTION","UC3-120","B","BM","60","High defect rate in YRA model st.-1","Lift measurement-1 fault was coming","Lift upper Ng coming at st.-1","Lift value coming higher side","Measurment pin wear out","suspected Pin roughness NG ","Measurment pin change with new ,Pin alignment check,Pin float zero reset done","N/A","Problem Category- Mechanical,Breakdown Category- Wear","No","Parveen Kumar,Bikash Pradhan","Completed"
"July","23-07-2024 T21:49","Fuel Pump","FP-Assy","MAGNETIZATION","M-EN-FP-FPA-1-050-1","B","BM","16","magnet spring getting damage","magnet spring getting damage","AFTER MAGNETIZATION PART UP THEN SPRING STUCK IN GUIDE JIG","SPRING JIG GUIDE BLOCK LOSS FOUND ","DURING RUNING",".","SPRING GUIDE BLOCK TIGHT DONE AND ALIGNMENT DONE","ALIGNMENT DONE","Problem Category- Mechanical,Breakdown Category- Process","No","Salman ,Tarkeshwar Prasad","Completed"
"July","23-07-2024 T23:53","Fuel Pump","FP-Assy","MAGNETIZATION","M-EN-FP-FPA-1-050-1","C","BM","20","Spring Damage in magnetization machine ","Spring Damage in magnetization machine","spring plate stuck in guide jig","spring pf hight lower side coming","spring pf stork adjustment ng ","during running time","spring pf cylinder stork adjust after that ok","spring pf stork adjustment done","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku,Salman ","Completed"
"July","24-07-2024 T00:05","Fuel Pump","FP-Armature","SHAFT POLISHING","M-EN-FP-ARM-1-150-1","C","BM","30","nagara switch not working","machine auto start not happen","auto start switch not working","auto start handle mounting damage ","during operation",".","spare old auto start change after that ok","new part  order","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Salman ","Completed"
"July","23-07-2024 T23:30","Injector","Housing-1","HOUSING MOULDING","EIHS-091","C","BM","60","pallet motion fault coming","Pallet motion fault coming","Pallet tilt found on lifter side","Pallet does not stop at location","Pallet stopper plate broken found","Welding strength was weak ","broken plate welding done  after that assy. done","New part order & install","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Tinku,Salman ","Completed"
"July","24-07-2024 T02:30","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","C","BM","30","resistance ng coming","Resistance ng was coming","Resistance value higher side coming","Probe and wire soldering condition not good","Cross-section area wire found non-uniform","some wire came out from soldering"," both probe wire re soldering done & alignment done then ok","so both probe wire re soldering done & alignment done then ok","Problem Category- Electrical,Breakdown Category- Part-Failure","No","Tinku,Salman ","Completed"
"July","19-07-2024 T12:02","Injector","Housing-1","HOUSING MOULDING","EIHS-091","A","CM","115","part without Molding coming","part without Molding passed to laser marking machine","same time part not mold in Molding machine","material drooling in nozzle side   ","key area side material stuck","needle valve wear out from inside","KEY AREA CLEANING DONE ,VALVE HOUSING & NEEDLE VALVE CHANGE WITH NEW AFTER THAT OK","VALVE HOUSING & NEEDLE VALVE CHANGE WITH NEW","Problem Category- Mechanical,Breakdown Category- Wear","No","Sandeep Kumar,Tinku,Salman ","Completed"
"July","24-07-2024 T08:30","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","A","BM","30","Resistance  NG coming higher side","Resistance  NG coming ","Resistance  value higher side coming","wire soldering found damage","continuous up down motion",".","PROB WIRE RESOLDRING AND ZERO SET BY MASTER THEN OK","NA","Problem Category- Electrical,Breakdown Category- Part-Failure","No","Yogesh Kumar","Completed"
"July","25-07-2024 T04:23","Fuel Pump","FP-Armature","SHAFT PRESS FIT","M-EN-FP-ARM-1-010-1","C","BM","30","shaft rotate coming","part ng coming","shaft rotate coming","shaft position disturb during press fit time","press fit pin properly not guide","pin tip portion damage","pin change with new and also alignment done then ok","so pin change with new and also alignment done then ok","Problem Category- Mechanical,Breakdown Category- Wear","No","Tinku,Salman ","Completed"
"July","25-07-2024 T08:00","Injector","Inlet","Assembly & Bolt Tightening-3","M-EN- IN-INP-3-01-010","A","BM","60","suction gun not working ,model selection was not coming after sensor changed","suction gun not working","sensor was not getting on","sensor foud damage","sensor mounting loose ","mounting bolt wearout","sensor changed with spare ,power reset done,plc was not connecting with laptop so power reset done,after connecting plc  found a temporay bit made by vendor found in contnue off ,plc backup taken and download again after that condition ok","sensor changed with spare
","Problem Category- Electrical,Breakdown Category- M/c Communication ","No","Kartikey,Akshay","Completed"
"July","22-07-2024 T13:10","Injector","UC#1","SPR.ADJ PIPE ASSY","EIAS-121","A","BM","30","Press fit pin damage during auto running.","Pressfit pin damage.","Adjust Pipe stuck on Guide ","Due to oil or something and camera didn't judge","Camera side misjudgment.","Parameter disturb possibly ","Pressfit pin changed with spare.,Centering check with master jig.,After PED done camera parameters adjustment as per requirement.","Parameter of Vision adjusted by PED as per required.","Problem Category- Both,Breakdown Category- Process","No","Kartikey","Completed"
"July","25-07-2024 T10:37","Injector","Housing-2","TERMINAL PRESS FIT & HEIGHT CHECK","HSG2-1010","A","BM","50","R-side flip unit rotary cylinder not turning properly","R-side flip unit rotry cylinder not trun","R-side flip unit rotary cylinder turn incomplete","Pneumatic pressure to rotate cylinder was less","Solenoid spool did not move","Spacer not working","Checked & found rotary cylinder was getting hang during turn motion,Speed increased but no impact,Residual air released from cylinder by removing the pneumatic pipes but no impact. Quick exhaust added but no impact,Solenoid & spacer replaced with new then movement of cylinder was Ok","-","Problem Category- Pneumatic,Breakdown Category- Part-Failure","No","Yogesh Kumar,Arun","Completed"
"July","25-07-2024 T10:30","Injector","Housing-1","HOUSING MOULDING","EIHS-091","A","BM","80","Robot not picking Part from loading station","Robot not picking Part from loading station","Robot program hang","Robot IO 558 was not coming","Terminal Guide reed switch signal 2.04 was not coming","Reed switch internal damage","Checked robot program & found IO 558 was not coming.,Checked IO 558 in drawing & found its corresponding PLC Bit 3202.14,Checked output coil of 3202.14 in PLC Program & found input 2.04 was not coming,Found 2.04 is reed switch of R-side connector in damage condition,Disassembled the jig from robot hand & removed the R-side connector from jig.,In connector the soldering of 2 wires were found removed.,New reed switch soldering done,Jig assembled on robot hand & dressing done accordingly.","Reed switch replaced with new & dressing done properly.","Problem Category- Electrical,Breakdown Category- Part-Failure","No","Yogesh Kumar,Arun","Completed"
"July","25-07-2024 T09:10","Injector","Housing-4","HOLDER, PLATE & PIPE PRESS FIT MACHINE","HSG4-3020","A","BM","60","pipe scratch coming","pipe scratch coming from jig no.1,2,3,5 ","pipe assy time touch the jig internal ","FM GENERATE IN JIG INTERNAL",".",".","all jig polishing done and latch adjust then m/c run","NA","Problem Category- Mechanical,Breakdown Category- Wear","No","Yogesh Kumar","Under MTD TL Approval"
"July","25-07-2024 T10:15","Injector","UC # 2","Back Up Ring Press Fitting","EIAS-110","A","CM","30","During backup ring pressfitting pipe getting damage","Part upper area damage during P/F.","Part position disturbed during slide IN.","Part guiding not proper.","Slide jig center guide pin found wear out condition.","Part life over.","Open slide jig and cleaning done them found center guide pin in damage condition.,Change center guide pin with new after that m/c run Ok.","Change center guide pin with new after that m/c run Ok.","Problem Category- Mechanical,Breakdown Category- Wear","No","Kartikey","Completed"
"July","25-07-2024 T11:00","Injector","UC # 2","Nozzle Body Press Fitting","EIAS-120","A","CM","30","CFT activity for defect reducing.","N/A","N/A","N/A","N/A","N/A","press fit speed reduce to 80 - 70 %  after that m/c under observation.","N/A","Problem Category- Electrical,Breakdown Category- Process","No","Kartikey","Completed"
"July","25-07-2024 T23:30","Fuel Pump","FP-Armature","SHAFT PRESS FIT","M-EN-FP-ARM-1-010-1","C","BM","25","Shaft rotate defects coming","Shaft rotate defects coming","unit alignment check then found during pf shaft same time motion abnormal","check shaft pressing punch motion hard ","upper punch open then found punch broken","during running (Route cause not clear )","punch change with new","punch change with new","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku,Salman ","Completed"
"July","26-07-2024 T02:50","Injector","Housing-3","LASER MARKING MACHINE","HSG3-4020","C","BM","25","Resistance NG coming higher side","Resistance NG coming higher side","part temp high","Hot air from vortex tube","FM accumulate on vortex tube","Natural phenomenon","check the probe condition and unit alignment ,cleaning the all vertex tube then ok","clean the all vertex tube","Problem Category- Mechanical,Breakdown Category- Design","No","Tinku,Salman ","Completed"
"July","26-07-2024 T10:40","Injector","UC # 3","SPRING AND  ADJ.PIPE ASSY ","UC3-080","A","CM","30","As per PRD/PED request adjsut the Pre pressfitting position.","Load NG coming in Dynamic insp.","As per PED observation Adjust pipe press Lower side in spec.","Adj pipe pre pressfitting press the adj pipe more.","N/A","N/A","As per required adjust the cylinder stroke after that m/c under observation.","N/A","Problem Category- Mechanical,Breakdown Category- Process","No","Kartikey","Completed"
"July","26-07-2024 T13:20","Injector","UC # 3","SPRING AND  ADJ.PIPE ASSY ","UC3-080","A","BM","30","ADJP DBL Loading fault","Adjust pipe double loading fault coming.","Double adjust pipe loading at table.","Adjust pipe stuck in side escape unit.","Oil come inside esape unit.","During air blow at Adj. pipe time oil suck in escape unit.","all table Jigs cleaning done.,Open adj pipe feeding escape unit and cleaning done after that OK.","Escape unit cleaning done.","Problem Category- Mechanical,Breakdown Category- Process","No","Kartikey","Completed"
"July","26-07-2024 T16:20","Injector","UC # 3","O RING AND BACKUP RING ASSY","UC3-160","B","BM","30","Machine silnet stop during auto running .","Machine was stopped in silent mode without any fault","Lower O ring transfer cycle not completed.","O-Ring not pick up from escape unit.","O-ring confirmation sensor at before escape was blinking","Due to PH sensor alignment disturbed.","Lower o-ring linear feeder cleaning done.,PH Sensor alignment done.","NA","Problem Category- Mechanical,Breakdown Category- Allignment","No","Bikash Pradhan","Completed"
"July","27-07-2024 T23:30","Injector","Housing-1","LASER MARKING","EIHS-101","C","BM","25","part unloading discharge cylinder  conformation not coming","Part unloading discharge cylinder confirmation was not coming","Cylinder reed switch malfunction","Reed switches was faulty","During running ","","Reed switch change with new after that ok","Reed switch change with new","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Salman ","Completed"
"July","27-07-2024 T04:00","Fuel Pump","FP-Armature","MOULDING","M-EN-FP-ARM-1-120-1","C","BM","60","Mold Thickness Fault coming","Mold Thickness fault coming","Mold unit not close fully and thickness confirmation showing off in panel","Mold thickness LS29 sensor 's sensor wire broken","Sensor wire got broken as it got hardened","Wire got hardened due to contact with the hydraulic oil","LS 29 sensor wire found broken and damaged from several points. So changed the damaged  sensor wire with new one. After that okay","1. Entire LS 29 sensor wire cable to be changed with new as per plan activity
2. Machine will replace with another one (Hydraulic → Electric)","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Salman ","Completed"
"July","27-07-2024 T03:25","Injector","UC # 3","LASER WELDING & MARKING","UC3-030","C","BM","45","A type pallet entrance side Pallet send cylinder was not going return","Pallet send cylinder was not moving  for return motion","Air was not being supplied to the cylinder ","Solenoid valve faulty","Wear and tear",".","Pallet send cylinder lubrication done ,Solenoid valve interchanged of Pallet send and pallet unload cylinder,Problem shifted to Pallet unload cylinder after solenoid interchange so faulty Solenoid valve changed with new ","NA","Problem Category- Pneumatic,Breakdown Category- Wear","No","Gaurav","Completed"
"July","27-07-2024 T08:40","Fuel Pump","FP-Armature","SHAFT PRESS FIT","M-EN-FP-ARM-1-010-1","A","BM","20","Shaft rotate defects coming","Shaft rotate part came some time","Shaft rotate during PF time or holding time","Shaft holding clamper force was little less","Shaft was little loose in finger during clamp",".","Check Clamper & core sheet alignment .,Clamper force little adjust.","Finger clamp force adjust & by doing plan we change its pressing punch .","Problem Category- Mechanical,Breakdown Category- Allignment","No","Arun","Completed"
"July","27-07-2024 T07:40","Injector","UC # 3","FILTER ASSEMBLY","UC3-140","A","BM","80","cycle time high was coming.,Chuck inversion -1 cylinder not working properly.","machine cycle time high coming.","Chuck inversion cylinder not working properly.","Pneumatic supply exhaust not proper.","Unit manifold exhaust filter block.","Block due to dust  or seal particals coming from cylinder units.","Try to adjust speed of cylinder by speed controller but no impact on speed.,Cylinder both speed controller changed with new.,cylinder lubrication done.,check soleniod changed on 17/7/2024 so change its spacer with new.,Change cylinder and speed controller with new.,both side quick exhaust added.,Speed controller removed and soleniod manifold exhaust filter cleaning done after that Ok.","soleniod manifold exhaust filter cleaning done. after that Ok.
Exhaust filter change point to be added in PM check sheet 1/6M ","Problem Category- Pneumatic,Breakdown Category- Process","No","Kartikey","Completed"
"July","27-07-2024 T13:25","Injector","Housing-3","HOLDER, PLATE & PIPE PRESS FIT MACHINE","HSG3-3020","A","BM","25","pallet stuck in escape unit","Pallet stuck in escape unit continue","Pallet does not stop by escape cylinder","PH Sensor was not detecting the pallet","Wire of sensor was found wear out","Wire was in contact with conveyor because its conveyor tension is loose.","Checked & found pallet was getting stuck during forward motion of escape unit,Checked PH Sensor condition & found its receiver ws continuously OFF,Checked its wire condition & found it was broken,Receiver replaced with new & accordingly alignment done after that OK","We will adjust conveyor tension on 4 Aug' 24","Problem Category- Electrical,Breakdown Category- Wear","No","Arun","Completed"
"July","29-07-2024 T07:10","Fuel Pump","FP-Assy","Cover end support press-fitting M/C","M-EN-FP-FPA-1-170-1","A","BM","180","Cover end support p/f machine cycle start not happen","From spring check ok confirmation not coming ","Left side spring check judgment showing NG  ","In sensor side power not coming ","In amplifier sensor head error  coming ","Root cause under discussion with Keyence member ","Replace sensor with right side but same so revert back,Try to reset error of amplifier with support manual and keyence member but fault still same  , Machine power reset many time but fault was same in amplifier ,Same model amplifier not available in stock So replace with different model . But application of sensor is same . So no impact on actual process  ,In amplifier sensor setting done as per requirement . And all master check by PRD team member . after that machine run ok","Same sensor to be revert back when available in stock","Problem Category- Electrical,Breakdown Category- Part-Failure","No","ANKUR BANSAL,Anil Kumar,Tarkeshwar Prasad","Under MTD HOSS Approval"
"July","29-07-2024 T17:30","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","B","BM","20","terminal bend coming ,rasistance probe bend found","Resistance NG was coming","Value going out of spec 12.3 - 13.7 ohm","Probe not making correct contact with terminals","Resistance probe found bend","Life over (Max 2 month)","resistance probe change with new after that ok","probe change with new ","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Salman ","Completed"
"July","30-07-2024 T08:50","Injector","Housing-1","LASER MARKING","EIHS-101","A","BM","10","insulation ng coming ","Insulation ng coming","Electrical circuit incomplete","Probe contact not happened with terminal","Insulation wire was broken ","There is up/down motion available in wire during measurement.","Broken wire rethimbling done then ok ",".","Problem Category- Electrical,Breakdown Category- Wear","No","Tarkeshwar Prasad","Completed"
"July","30-07-2024 T15:53","Fuel Pump","FP-Armature","SHAFT PRESS FIT","M-EN-FP-ARM-1-010-1","B","BM","30","shaft rotate coming","some time part quality ng coming","shaft rotate coming","shaft position disturb during press fit time","some shaft shifted happen during unclamp time","clamper force not good","clamper force adjusted done & upper punch cleaning done then ok","so clamper force adjusted done & upper punch cleaning done then ok","Problem Category- Mechanical,Breakdown Category- Allignment","No","Tinku","Completed"
"July","30-07-2024 T17:30","Fuel Pump","FP-Assy","Cover Assembly & Housing Staking M/C","M-EN-FP-FPA-1-160-1","B","BM","30","during casing p/f process part hit in upper jig","machine stop p/f process","during casing p/f process part hit in upper jig","upper jig pin motion hard ","dust available in pin area ",".","upper jig pin cleaning done after ok","cleaning done","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku,Salman ","Completed"
"July","31-07-2024 T08:30","Injector","UC # 3","NOZZLE BODY PRESS FITTING","UC3-020","A","BM","120","Gripper xfer return fault was coming","Gripper Mounting Pin broken 
","High Vibration/ Impact on Pin 
","Gripper <1100mm > Mounting on 2 Pins 
Pin Mounting thread M4
Pin Mounting thread M4
Pin Mounting thread M4
( Pin mounting thread M4 )","Design concern 
","U/A","Broken Pin removed from ball screw and Assembled New one ,Gripper alignment check","Eliminate Significant Impact by design modification in Pin.   TD: 20 Aug
","Problem Category- Mechanical,Breakdown Category- Design","No","Parveen Kumar","Completed"
"July","31-07-2024 T08:57","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","A","BM","20","insulation ng coming ","Insulation ng coming","Value going out of spec","Electrical circuit was incomplete","Insulation wire broken","There is up/down motion is available during measurement.","Broken wire rethimbling done and resistance zero settings done ",".","Problem Category- Electrical,Breakdown Category- Wear","No","Tarkeshwar Prasad","Completed"
"Aug","01-08-2024 T12:40","Injector","UC # 3","NOZZLE BODY PRESS FITTING","UC3-020","A","BM","70","Gripper Xfer home return fault  was coming","Gripper was not in home position ","Gripper L-SIDE mounting pin was broken","Due to load appled on gripper plate","Gripper stuck with pallet","Under analysis","Gripper mounting pin modified and assembled,Gripper alignment Check and zero reset done ","Gripper mounting pin modified","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Parveen Kumar,Bikash Pradhan","Under MTD HOSS Approval"
"Aug","01-08-2024 T12:30","Injector","Housing-3","LASER MARKING MACHINE","HSG3-4020","A","BM","60","Resistance Ng coming at higher side (Defect rate 2% )","Some time resistance value increase ","Gap come between both resistance check unit probe side ","Both side probe bend","Probe alignment ng with the respect of part terminal ","Long use","Condition checked & found gap available between probe & terminal,Probes condition checked & found they were worn out,Replace probe with new both station,According to master probe unit alignment and resistance zero set done","Both station probes replaced with new","Problem Category- Both,Breakdown Category- Wear","No","Anil Kumar,Tarkeshwar Prasad","Completed"
"Aug","01-08-2024 T14:54","Injector","Housing-3","LASER MARKING MACHINE","HSG3-4020","B","BM","20","Resistance Value higher side","Resistance Value higher side","Probe contact with terminal not happening","Gap was available between probe & terminal","Long use","Natural phenomenon","both probe side gap ng so alignment done after that ok","alignment","Problem Category- Electrical,Breakdown Category- Design","No","Salman ","Completed"
"Aug","01-08-2024 T17:35","Fuel Pump","FP-Armature","SHAFT POLISHING","M-EN-FP-ARM-1-150-1","B","BM","20","part shaking not happen","part shaking not happen","part shaking motor stop during process ","part shacking motor pulley side dent coming","pulley wear out",".","pulley dent polishing done after that ok","pulley change plan ","Problem Category- Mechanical,Breakdown Category- Process","No","Salman ","Completed"
"Aug","01-08-2024 T17:40","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","B","BM","20","Resistance  NG coming higher side","Resistance NG coming higher side","Value going out of spec","One probe was not touching terminal properly","Probe unit alignment NG","probe unit mounting bolt loss found","Probe unit alignment done and bolt properly tight done","unit alignment done","Problem Category- Electrical,Breakdown Category- Allignment","No","Salman ","Completed"
"Aug","01-08-2024 T17:30","Fuel Pump","FP-Armature","SHAFT PRESS FIT","M-EN-FP-ARM-1-010-1","B","BM","90","dent found on core sheet in d-cut during P/F PROCESS","Dent found on core sheet in d-cut side during P/F PROCESS","upper punch side dent found","core sheet loading jig key wear out","during core sheet loading dent found","check child part dent found same core sheet ng coming","PART LOADING JIG ALIGNMENT CHECK FOUND OK,CORE SHEET PRESSING PUNCH SIDE DENT POLISHING DONE,CORE SHEET LOADING JIG KEY CHANGE WITH NEW ,CORE SHEET CHILD PART CHECK FOUND COMING SO CHANGE THE CHILD PART LOT AFTER THAT OK","change the core sheet lot","Problem Category- Mechanical,Breakdown Category- Process","No","Salman ","Completed"
"Aug","01-08-2024 T20:50","Injector","Housing-3","WIRE WINDING","HSG3-2010","B","BM","25","return  conveyor stopper not working","Return conveyor stopper side pallet not escape ","Escape cylinder motion not happen ","Cylinder side air leakage found","Cylinder seal was found wear out","Life over","Pallet escape cylinder change with new","Cylinder change with new","Problem Category- Pneumatic,Breakdown Category- Wear","No","Salman ","Completed"
"Aug","01-08-2024 T23:25","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","C","BM","15","Resistance NG coming","Continue Resistance NG coming in higher side (15.0~16.0 ohm)","Part terminal & probe contact not making properly","Dust available on probe face","Actual cause not clear but suspected cause may b due to continue contact dust/dirt accumulate on probe area",".","Zero master check ok,Probe & part terminal centering check ok,Probe soldering check-ok.,Probe clean with IPA & Bam coat, after that check part run ok.","Probes cleaning done","Problem Category- Mechanical,Breakdown Category- Process","No","Arun","Completed"
"Aug","10-08-2024 T04:40","Fuel Pump","FP-Armature","BALANCING M/C","M-EN-FP-ARM-1-160-1","A","BM","80","Cut 2  angle of rotation fault coming continue","Cut 2 side angle of rotation fault come","During angle rotation sensor sense of metal and plastic both ","In part side dark ness was came on plastic portion ","Root cause not clear but suspected cause was molding machine side material issue ","-","Cut 2 angle of rotation sensor cleaning done but same ,BM station sensor set value change but same so revert back ,Cut 2 cylinder and its sol. valve motion check found ok ,Finally cut 2 sensor set value increase 770 to 1273 ","","Problem Category- Electrical,Breakdown Category- Process","Yes","Tinku,Anil Kumar","Completed"
"Aug","02-08-2024 T08:35","Injector","UC # 3","NOZZLE BODY PRESS FITTING","UC3-020","A","BM","70","Gripper Xfer home return fault coming","Gripper home position was not coming","Gripper stuck with pallete","Gripper L-side mounting was loose","Guide pin mounting thread wear out","Under analysis","New thread make and new guide pin assembled,Alignment check of gripper and calset done","New modified guide pin already order","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Parveen Kumar,Bikash Pradhan","Under MTD HOSS Approval"
"Aug","02-08-2024 T14:45","Injector","Housing-4","MOLDING MACHINE","HSG4-4010","B","CM","30","Molding unit fault coming found NH temperature down at auto running","Molding unit fault coming found NH temperature down at auto running","NH temp. down coming","Nozzle key motion not happen","Nozzle side material drooling","Normal phenomena as using glass material","Key area cleaning done","Key area cleaning done","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku,Salman ","Completed"
"Aug","03-08-2024 T13:47","Injector","Housing-4","LASER MARKING MACHINE","HSG4-4020","A","BM","30","Resistance NG coming","Value was going out of spec","Probes not making contact with terminal","Gap was available between probes & terminal","Life over","Natural Phenomenon","Checked & found resistance was continuously coming NG,Probes condition checked & found gap was available between probes & terminal,Probes disassembled & found they were bend & wear out,Probes replaced with new,Probes alignment done with respect to master,Resistance zero reset done with respect to RESISTANCE ZERO MASTER.","Probes replaced with new","Problem Category- Electrical,Breakdown Category- Part-Failure","No","Salman ","Under MTD HOSS Approval"
"Aug","05-08-2024 T07:03","Fuel Pump","Bearing Holder","BRUSH-TERMINAL HOT STAKING","M-EN-FP-BRH-1-110-1","A","BM","20","Water is leaking from movable electrode unit.","in side of machine water available found","Water is leaking from movable electrode unit.","water fitting ferrule damage ","due to long use ",".","water pipe fitting change with new after that ok","fitting change with new","Problem Category- Mechanical,Breakdown Category- Wear","No","Salman ","Completed"
"Aug","05-08-2024 T07:07","Fuel Pump","Bearing Holder","PLATE TERMINAL PRE-TIGHTENING","M-EN-FP-BRH-1-090-1","A","BM","20","MASTER OFF during cycle","MASTER OFF during cycle","door px sensor relay off during cycle ","px sensor signal beak during cycle ","px sensor wire pinch found on back side machine cover","human mistake","sensor change with new and wire dressing  properly after that ok","sensor wire dressing done","Problem Category- Electrical,Breakdown Category- Human","No","Salman ","Completed"
"Aug","05-08-2024 T06:35","Injector","UC # 3","LASER WELDING & MARKING","UC3-030","A","BM","235","Welding Device fault coming ,Chiller fault coming,Welding machine error","Problem 1 and 2 :
Welding device not getting ready
","Chiller not ready","chiller side water flow and pressure drop ","Main water line Filter chocked ","Problem 3 :
1. Laser Generator not getting ready in Auto condition
2.Laser Generator Side Contact responsible IPG service bit on
3. Warning out bit continue on (Can only be reset by maker as it is password protected)
4. Root cause Under investigation with maker","Checked Generator side and found that Water flow was 0,Line Flushing already done last week <2 times>,Main Water line Filter checked by PRD and Found Chocked,Main Water Line Filter changed with New by PRD after that Problem 1 and 2 OK,For Problem 3 check Laser Generator and found Warning out bit and "Contact responsible IPG service bit ON' ,So take maker support via remote and fault reset by Maker (Fault can only be reset by maker as it was password protected))","NA","Problem Category- Electrical,Breakdown Category- M/c Communication ","No","SOURABH GUPTA,SAHIL SAINI,Santosh kumar Majhi","Under MTD TL Approval"
"Aug","05-08-2024 T09:30","Injector","UC#1","SEAT LEAK","EICI-051","A","BM","40","Seal Leak NG and recheck NG coming","Seal leak value very low coming.","Air coming in side the measurment circuit.","Part clamping not proper.","Part sealing oil tube flange o-ring and head gasket wear out.",".","1) Head gasket changed with new.,2) Oil tube flange o-ring changed. and Measurment circuit air release done. after that M/C run OK.","O-ring and Head gasket change cycle revise in PM check sheet.","Problem Category- Mechanical,Breakdown Category- Wear","No","Santosh kumar Majhi","Under MTD HOSS Approval"
"Aug","05-08-2024 T06:20","Injector","UC#1","Seat Oil Leakage Inspection","EICI-052","A","BM","30","M/C not in home position","Table Homeposition not coming.","Front door not close.","Loading station part ID conformation sensor continoue ON.","Oil coming on Sensor lence.","..","Cleaning the sensor lence. After that M/C run OK . ( actual time 5min. but  same time UC-2 machine problem so Break down time 30 min )",".","Problem Category- Electrical,Breakdown Category- Process","No","Santosh kumar Majhi","Under MTD HOSS Approval"
"Aug","06-08-2024 T03:20","Injector","UC # 3","SPRING AND  ADJ.PIPE ASSY ","UC3-080","C","BM","20","Loading check condition fault ","Double adjust pipe were being loaded in table Jig","Adjust pipe were being sticky","Due to Oil accumulation in Feeding path ","Oily Environment ","","Adjust pipe feeding path open and cleaning done ","Air Blow in Adjust pipe Block to be Optimised <Under Discussion with CFT>","Problem Category- Mechanical,Breakdown Category- Process","No","Gaurav","Under MTD HOSS Approval"
